Temps,Taille de la population
56.560147490220146,24
9950.868164827623,24
9922.019634362528,24
9889.912338185568,24
9855.945718072684,24
9817.028403829507,24
9771.794557395173,24
9750.9440567048,24
9731.55427207473,24
9688.308138798133,24
9641.32682032499,24
9609.19675437069,24
9568.747590231487,24
9513.71661893432,24
9473.23533508826,24
9446.523149603154,24
9417.505368326736,24
9381.119749349871,24
9356.642770577084,24
9307.894497281468,24
9286.914385144819,24
9234.19165950153,24
9213.718230771068,24
9186.419652337347,24
9133.950639857465,24
9083.768565502069,24
9051.495193880472,24
9019.44287666301,24
8993.096499357142,24
8955.809319043086,24
8931.192082853731,24
8891.90218226116,24
8860.973115653838,24
8815.321874406724,24
8790.598603710507,24
8745.316644815653,24
8700.260726211865,24
8663.556597626055,24
8615.825026403509,24
8585.885058777916,24
8567.918397981579,24
8547.845947078991,24
8489.956589130185,24
8456.264787051347,24
8439.330409547145,24
8412.194735625237,24
8376.728412894026,24
8358.368443725576,24
8305.324100905626,24
8265.019413235053,24
8224.314922102894,24
8177.2065818976525,24
8148.033367024306,24
8108.49563110319,24
8068.0006483202815,24
8039.715442180919,24
8000.916710541243,24
7949.082177895563,24
7927.346864412337,24
7901.928122918665,24
7862.53984611271,24
7830.08623780891,24
7811.177550501006,24
7768.07723173375,24
7719.555111361512,24
7661.40472792729,24
7614.192287530572,24
7571.032219840286,24
7508.610513858726,24
7447.642904597428,24
7405.906396202707,24
7378.786832780906,24
7361.313816501416,24
7302.803133257993,24
7284.982539868049,24
7249.269687716024,24
7213.4228032907085,24
7171.336614644325,24
7128.365104273624,24
7099.980830160346,24
7070.9811385252915,24
7051.9125878818895,24
7018.741041126142,24
6994.846480530449,24
6969.396677378343,24
6946.26977379877,24
6895.346427796256,24
6849.201519037227,24
6815.182970170991,24
6761.352875896351,24
6704.061271168248,24
6684.5232248830425,24
6640.0934468515225,24
6605.133541011928,24
6570.613865995612,24
6541.952042497708,24
6515.185532888566,24
6451.3199135302275,24
6435.072105287299,24
6399.106497901186,24
6375.400276796868,24
6317.048393371601,24
6270.531577251119,24
6228.551466129318,24
6159.4198371264,24
6134.991112656059,24
6104.1776666518235,24
6081.384066486292,24
6058.377437485612,24
6003.6805423933665,24
5959.843311684997,24
5935.441648205419,24
5916.664207047055,24
5883.43982580319,24
5866.637115169719,24
5820.24209670814,24
5752.227239995203,24
5734.803225912053,24
5699.525363156319,24
5645.85324661782,24
5608.408545344883,24
5556.783130426033,24
5495.726003675704,24
5476.66270555617,24
5445.274138353789,24
5421.619487176048,24
5381.8618654133015,24
5350.155837885551,24
5308.56201666772,24
5290.521983872685,24
5253.202877015003,24
5214.3323561341585,24
5190.644077867722,24
5167.86282782329,24
5117.975256572799,24
5079.064670984072,24
5062.975880035738,24
5014.8952539719985,24
4996.890799341188,24
4959.952026700839,24
4927.2667732890895,24
4883.129418059128,24
4862.545308041346,24
4831.178325609682,24
4813.108080568352,24
4770.553745614269,24
4748.58010015986,24
4708.116188850036,24
4662.560782265385,24
4629.295498710018,24
4603.6333797683665,24
4573.8602965436785,24
4557.667134417505,24
4533.67386282983,24
4479.153478694093,24
4425.8871062658645,24
4396.213444628541,24
4371.86870813008,24
4326.3358250284755,24
4304.129632363691,24
4279.787821905183,24
4232.764789752416,24
4169.173013281898,24
4116.698137596722,24
4088.300229318053,24
4059.5964439093163,24
4029.3784695098425,24
4011.681183357916,24
3985.3780489286974,24
3961.282462309123,24
3917.452627202568,24
3899.937677061801,24
3868.730605452504,24
3824.002098678069,24
3791.2219747947615,24
3744.2117234462157,24
3702.972404263002,24
3682.0677753478076,24
3658.24469428556,24
3628.363753688818,24
3567.9936143735954,24
3547.805522987881,24
3501.6516133084647,24
3482.4113566868004,24
3438.190347587518,24
3417.1718874182784,24
3393.7573271539277,24
3340.66743645902,24
3316.164882784478,24
3299.8283715465136,24
3264.155306832793,24
3207.6369490488414,24
3179.4615877828433,24
3125.5494459602705,24
3092.1854299314277,24
3065.802489572866,24
3039.1948623787384,24
3009.965672059491,24
2988.188522013846,24
2926.8019170051352,24
2909.4708414799934,24
2853.3578787392576,24
2817.426868501119,24
2784.9146543483735,24
2763.331556764209,24
2744.5832209745836,24
2710.194909651186,24
2675.2618152183563,24
2648.491850126686,24
2631.2406161760273,24
2614.118891622388,24
2564.9893534474527,24
2528.097190348034,24
2491.5978421291643,24
2436.833674452483,24
2405.283530284483,24
2356.146873081281,24
2337.513791012365,24
2294.1146871638502,24
2275.8265696966077,24
2246.0224855765696,24
2225.1925285754896,24
2194.919023928298,24
2156.840211855132,24
2103.477989801057,24
2080.4348963033617,24
2044.561808106625,24
1999.6048890500279,24
1980.316663961153,24
1962.5860985049324,24
1932.9482892663584,24
1882.4442138050151,24
1852.4862738827685,24
1789.510397366652,24
1734.8422961149913,24
1671.2749257147077,24
1641.0686191731206,24
1597.9758807174803,24
1559.2510041512107,24
1528.036350283979,24
1487.6060345040394,24
1460.1283585131382,24
1439.8249026314952,24
1389.9223679970983,24
1335.1103721925606,24
1313.7427328467309,24
1278.4416859310636,24
1244.00480742703,24
1208.817229939675,24
1180.2182536852292,24
1158.2333695425536,24
1129.974265208379,24
1096.7824961391138,24
1072.341062008416,24
1035.7294828319398,24
991.8372342844814,24
941.538204692003,24
892.6556813163111,24
833.8125757763443,24
816.2109068226838,24
779.5285313096704,24
736.7320179980212,24
686.476610965572,24
644.8990733063171,24
598.406309680053,24
566.3453375709817,24
549.1330886668524,24
515.0786139667838,24
496.1128994877043,24
448.39969020344284,24
388.0757392268487,24
347.3861442495579,24
320.6115121337918,24
271.3821937854078,24
216.04896141512077,24
187.83196211962627,24
159.32530100152616,24
121.98679327578004,24
56.560147490220146,23
9952.74133829901,23
9929.114225267227,23
9868.244085092665,23
9830.602967804787,23
9791.997858698705,23
9730.443590652292,23
9699.851500068407,23
9681.682811125951,23
9649.49942975637,23
9604.28268712648,23
9587.120461761224,23
9568.747590231487,23
9513.71661893432,23
9473.23533508826,23
9446.523149603154,23
9417.505368326736,23
9381.119749349871,23
9356.642770577084,23
9307.894497281468,23
9286.914385144819,23
9234.19165950153,23
9213.718230771068,23
9186.419652337347,23
9133.950639857465,23
9083.768565502069,23
9051.495193880472,23
9019.44287666301,23
8993.096499357142,23
8955.809319043086,23
8931.192082853731,23
8891.90218226116,23
8860.973115653838,23
8815.321874406724,23
8790.598603710507,23
8745.316644815653,23
8700.260726211865,23
8663.556597626055,23
8615.825026403509,23
8585.885058777916,23
8567.918397981579,23
8547.845947078991,23
8489.956589130185,23
8456.264787051347,23
8439.330409547145,23
8412.194735625237,23
8376.728412894026,23
8358.368443725576,23
8305.324100905626,23
8265.019413235053,23
8224.314922102894,23
8177.2065818976525,23
